epoch,accuracy,learning_rate,loss,top2_accuracy,val_accuracy,val_loss,val_top2_accuracy
24,0.5630455017089844,9.999999747378752e-06,1.1669145822525024,0.7589230537414551,0.559684157371521,1.163476824760437,0.7656757831573486
25,0.5695611238479614,9.999999747378752e-06,1.1513298749923706,0.7670778036117554,0.5650255680084229,1.1540844440460205,0.7707849740982056
26,0.5738229155540466,9.999999747378752e-06,1.136266827583313,0.7683071494102478,0.5682768225669861,1.1484003067016602,0.7682303786277771
27,0.5825513005256653,9.999999747378752e-06,1.1226775646209717,0.7737163305282593,0.5719925761222839,1.1344807147979736,0.7758941054344177
28,0.5814858675003052,9.999999747378752e-06,1.1201677322387695,0.7757652997970581,0.5733859539031982,1.1311057806015015,0.7751973867416382
29,0.5794369578361511,9.999999747378752e-06,1.1172354221343994,0.7752325534820557,0.5757083296775818,1.1272687911987305,0.7775197625160217
30,0.5848870873451233,9.999999747378752e-06,1.1117016077041626,0.7769536375999451,0.5764049887657166,1.1226543188095093,0.7765908241271973
31,0.5870180130004883,9.999999747378752e-06,1.0978261232376099,0.7835102081298828,0.5794240832328796,1.1212927103042603,0.777287483215332
32,0.5890669226646423,9.999999747378752e-06,1.094372272491455,0.7817071676254272,0.5803530216217041,1.1153793334960938,0.777287483215332
33,0.596115231513977,9.999999747378752e-06,1.089026927947998,0.7846575975418091,0.5831397771835327,1.1115670204162598,0.7810032367706299
34,0.5944350957870483,9.999999747378752e-06,1.0821707248687744,0.7863377332687378,0.5849976539611816,1.1093703508377075,0.7828611135482788
35,0.5946809649467468,9.999999747378752e-06,1.0759249925613403,0.7894930839538574,0.5833720564842224,1.1060900688171387,0.7849512100219727
